Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 2, 20.0, -19.0
Query 2, 3, 30.0, -17.5
Query 3, 0, 0.0, 0
Query 4, 1, 10.0, 1
Query 5, 4, 40.0, -2.1
Query 6, 0, 0.0, 0
Query 7, 4, 40.0, -4.9
Query 8, 4, 40.0, -10.3
Query 9, 3, 30.0, -7.5
Query 10, 0, 0.0, 0
Query 11, 1, 10.0, 0
Query 12, 2, 20.0, -84.0
Query 13, 3, 30.0, -8.5
Query 14, 3, 30.0, -12.5
Query 15, 2, 20.0, -28.0
Query 16, 1, 10.0, 0
Query 17, 3, 30.0, -3.75
Query 18, 0, 0.0, 0
Query 19, 2, 20.0, -57.0
Query 20, 0, 0.0, 0
Query 21, 2, 20.0, -64.0
Query 22, 0, 0.0, 0
Query 23, 4, 40.0, -2.5
Query 24, 0, 0.0, 0
Query 25, 1, 10.0, 0
Query 26, 1, 10.0, 0
Query 27, 2, 20.0, -9.0
Query 28, 4, 40.0, -9.0
Query 29, 2, 20.0, -16.0
Query 30, 1, 10.0, 0
Query 31, 3, 30.0, -12.5
Query 32, 2, 20.0, -12.0
Query 33, 0, 0.0, 0
Query 34, 4, 40.0, -5.7
Query 35, 2, 20.0, -96.0
Query 36, 4, 40.0, -1.6
Query 37, 0, 0.0, 0
Query 38, 1, 10.0, 0
Query 39, 2, 20.0, -19.0
Query 40, 1, 10.0, 0
Query 41, 4, 40.0, -6.5
Query 42, 3, 30.0, 0.25
Query 43, 3, 30.0, -1.75
Query 44, 3, 30.0, -3.75
Query 45, 3, 30.0, -7.25
Query 46, 5, 50.0, -0.10000000000000009
Query 47, 1, 10.0, 1
Query 48, 1, 10.0, 0
Query 49, 0, 0.0, 0
Query 50, 1, 10.0, 0
Query 51, 2, 20.0, -44.0
Query 52, 0, 0.0, 0
Query 53, 1, 10.0, 0
Query 54, 2, 20.0, -49.0
Query 55, 2, 20.0, -24.0
Query 56, 3, 30.0, -12.5
Query 57, 1, 10.0, 0
Query 58, 1, 10.0, 0
Query 59, 1, 10.0, 0
Query 60, 3, 30.0, -21.25
Query 61, 1, 10.0, 0
Query 62, 2, 20.0, -28.0
Query 63, 3, 30.0, -10.5
Query 64, 1, 10.0, 0
Query 65, 1, 10.0, 0
Query 66, 1, 10.0, 0
Query 67, 0, 0.0, 0
Query 68, 2, 20.0, -24.0
Query 69, 1, 10.0, 0
Query 70, 1, 10.0, 0
Query 71, 1, 10.0, 0
Query 72, 0, 0.0, 0
Query 73, 1, 10.0, 0
Query 74, 3, 30.0, -7.5
Query 75, 5, 50.0, -4.55
Query 76, 2, 20.0, -4.0
Query 77, 2, 20.0, -24.0
Query 78, 0, 0.0, 0
Query 79, 3, 30.0, -5.5
Query 80, 3, 30.0, -27.5
Query 81, 1, 10.0, 0
Query 82, 3, 30.0, -19.75
Query 83, 3, 30.0, -11.5
Query 84, 1, 10.0, 0
Query 85, 1, 10.0, 0
Query 86, 3, 30.0, -6.25
Query 87, 2, 20.0, -8.0
Query 88, 2, 20.0, -24.0
Query 89, 3, 30.0, -17.5
Query 90, 1, 10.0, 0
Query 91, 0, 0.0, 0
Query 92, 2, 20.0, -28.0
Query 93, 5, 50.0, -3.2
Query 94, 0, 0.0, 0
Query 95, 3, 30.0, -7.5
Query 96, 6, 60.0, -2.0285714285714285
Query 97, 1, 10.0, 0
Query 98, 2, 20.0, -12.0
Query 99, 3, 30.0, -2.25
Query 100, 2, 20.0, -89.0
Averages, 1.91, 19.1, -10.367285714285716
